content,polarity_vader
need pack cali cali cannot waittt thinking glass wine order celebrate weekend vaca still work morrow tho,2
miserable feel like gona cry sux,0
well ran beer left sure eta waiting waiting waiting bleh gonna long nite methinks,2
nose stud fell cant find look like ill head amsterdam today get new one,0
claire love show got office radio,2
pat philly love mmm cheesesteak miss boyfriend love vacation,2
sigh going bed dont feel right anymore,1
focused tom much didnt see beloved barack oh must vote poor president vote,0
epicentre wheelock place tourist,1
depressed watching think dance,0
cross cause stuck twiddling thumb ugh,0
miss th,1
know like said idea long take investigate stuff,2
cant sleep sore move,1
awe miss baby,1
chocolate never say,1
achieving new appreciation xml build script really painful cumbersome,1
radio awake ill nap afternoon,0
cant anything,1
still need another hour sleep,1
work,1
rip leonardo great mini fiddler crab,2
morning tweepleway early,1
last day working uni today sad time,0
thanks neemah gonna soooo close izzy yet far,2
head hurt bad could scream,0
go tired airmatras broken somewhere even pain,0
new work wellness challenge going well committed check email pm failed first day twice,2
new blog post blog auto insuran found auto insurance policy expired careless meanw,0
bestfriends mia wat,1
oh meni really cant see facecmon guy,1
showing age renewed tag last week went got insurance renewal email today went dont wanna old,1
sole supporter sole supporter,2
dont hate finish work there still hour left work time,2
urgh stop guy,1
still missing husband really want home,1
miss puppy,1
day month left mb left onpeak downloads,1
didnt get memo look amazing,2
ive given pizza kid would never let fav hot one,0
reading tabloid people livesthinking gonna mine baby leaf,1
yearling pet home died sad whole family,0
fun sun hmmm hell cold,0
got giant splinter stuck underneath finger nail today muppetsit hurt got go first aid first time,0
hate change course fan life lt oh havent met rob something went horribly wrong,0
feeling sad reason,0
well fuck new pain med odd warning actually applies cant take chan displeased,0
uploaded new blog painful story year old man cried wanted die sad,0
dont think want detail,1
hi mary poppins,1
addicting kind curse night time everytime one feel like making music afterwards,2
last tweet didnt send bad phone,2
omg ur alive lol day gone sooo slow going insane grrr anything tonight,2
watching parental control,1
get california vintage ahahah best dress want dont ebay,2
saw pic past thanksgiving sad grandma,0
wont let,1
took shift tomorrow dont really feel like working right,0
money phone,1
spent last night aampe er wife tangled wheel daughter amp hit deck dislocation amp fracture resulted,1
day ready visit torchwood see theyve heard anything,2
morley bris cant hear thunder,1
bec v fat food winner fat food weeknend ill beat,1
bad red devil disappointing say least,0
dream pretty pretty beach beach woke,2
ware se fast enough x xm ssd raid mhz iop hpt might try adaptec ghz,1
da heck garage man get ask,1
ate mandy please forgive really sorry dont wanna lose bff,1
umm yeah thats probably pretty good note self eeeeeewwwwwwww,2
plane ticket expensive,1
umm yeah thats probably pretty good note self eeeeeewwwwwwww,2
need job badly,0
daaammmnnnnn wish,2
went di bella coffee roaster today asked job person needed speak holiday fb,2
hime played latter part voodoo village part coop lost usual partner,1
bad friend,1
happy birthdayyy hope awesome day didnt see next last night,2
shit right vacation got workin,0
ill oir,0
guess go girlie still gym work,1
would wish severe migrains would stop doc prescription arent working,1
missed game,1
internet last night er brill massive explosion end nearby gas work er standby,1
cuz airline super lame,1
still pity come lamb though,1
sorry hear optimist thing get better u,2
done painting bedroom furniture still table wait move uggh moving heat,1
tiredand insomnia,1
hungry fool ill probably never see krispy kreme enjoy closing,0
airport didnt show tonight homo,1
hate bakersfield hate port let go home already want start vacation,0
,1
looking desktop twitter app actually let access url suggestion liked twittle linking,2
people house know close door,1
completing facebook quiz time morning especially friday morning,1
amp soooo hungry,1
dont like possibility left side brain hurting thing called vp shunt possible death,0
cancel wow,2
want make music profile dont money dont know write music dont know play instrument studio,1
yeahim sad quotravenclawquot account love account bit,1
hear helicopter flying house thats kind weird news headache back booooo,2
sugar oh always lt,1
back school m suhanas last day ft ocu okay playing altnoy,2
poll trying get work powerpoint avail,1
took math test today day test teacher say bring calculator luke confident teacher decided calcs,2
omg concert awesome madrigal gave chill almost every piecebrooks also called alumnus didnt get go,2
yeah terrible cockatoo hardest live emotional good thing found though,2
late nothin,1
think vog making sicker think feeling slightly achy,1
homework sux big time math worst,0
would better imo let play song provided start quotget itquot black,2
wordsaftersex never started,1
sometimes wish thing could go back way beginning last summer,2
downloaded new twitterfon update thinking fixing typing problem new tweet didnt,0
feel way guess matter always meme,1
cant minute treadmill done minute today already gonna minute,1
sooooooooooooo confused,0
friend like vaikonedumaran ltte didnt need enemy wrong advice wrong time led numerous death amp lost cause well,2
work day,1
chillin roomy cant wait zombie clwn cr gonna week,1
looove guitar playing think sound magnificent better,2
refund retrieve account take like week hoping thief doesnt use hack permaban,1
cry lol,1
cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol,0
epicentre wheelock place unit amp tourist starting today,1
hate new mt dew commercialthe one giant mosquitoit scare gross time,0
come knight well hour,1
super keen drive home rain additional concentration required dont really wanna deal,2
aw cant let secret,1
sorry dont think stick least compared used look like,1
transport church wont making crushed oh well time assignment suppose throat really hurt,1
hate see pregnant woman smokinggg sooo irresponsible selfish saaad ultimately baby one suffers,0
liesliesliesyou cant avoid lie practicallyeverything,1
twittascope rocking sock go away already,1
driving back home forgot piece cake era,1
tried jumping without trampoline like thud thud shouldnt eaten cookie,1
everytime send email coach feel need practice shitty ball lol,1
pissing letting follow ericka,0
going sleep peaceful wanted hear say good night didnt happen good night everyone,2
mum trying make feel ebtter stopping voting adn winning shortstack almost cried,1
close tacosone spot late,1
thinking much work,1
forgot live jonas brother facebook,1
havent seen muffin two whole day,1
ill miss yall back give regard,0
gap year going quick,1
admit bit bummed wasnt friend walking today,1
girl blunt soooooooo thought right absolutly great day stressorscome home,2
twitter hacked,0
found mj mouse flat dj course none left size,1
wont time buy need new binder pa,1
hahaha well try ugly,2
man ulduar hard,1
dont even want know know vhemt dont go wed miss,1
thats awesome weekend cant go moving sat lot fun though,2
night night twitter world still cant believe thomas thing tomorrow gunna funsad,1
oat happening,1
tah oh hug,2
bored talking someone theyre busy something else kinda bummer idk,0
knoww thing wont samee lt,1
omgness pm need beup early set garage sale start wish said beat,2
kno doooo yall partyin,1
okay twitter suddenly changed respond message,1
ugh dad told read article kavya shivashankar spellin bee girland like,1
decided matter good hair look curly doesnt justify burn get curler hand covered suck,2
going sleep gonna fall asleep playing apps tmrw going suck,1
yea gotta,1
hate bf beat da dog guess way teach pitt,0
sprained ankle like really badly tore stuff hurt birthday weekend,0
cant believe metal gear solid song stolen disappointed,0
think may broke toe bar tonightthanks drunk girl steppin,0
one sale done today work explored balcony big theater w coworkers fun day void chili fry tip,2
wish left dead first id need something play,1
,1
story reminds living portugal,1
youre diabetic dad amp might sure still allowed eat sugar throughout day,2
spilled beer leg wasted half beer home met cute girl good conversation,2
roommate tickle love ignore,2
ill make nacho tomorrow better would made,1
yeahhh ampdont judge pillow,1
scary lightning thunder glad going sleep hope late school tomorow haha,2
teeth head hurt,0
hate rob zombie movie amp smell weed vommmm,0
math science strongest thinkdunno bout geography like day study year work,2
waiting line tryst,1
hope get job cuz need apartment drunk amp miss lil punkin tehe,1
got home wanting read last chaper breaking dawn cause dont want beover,1
need held gnite,1
hanging sam billy veronica going school tomorrow take sam body shop dang car accident,0
arrested development sad,0
xo wicked time leaving come cant stay night,0
omg keep losing follower sad want one daythats goal,0
feel deflated doggy,1
rain wanna see hair hows everyone,1
empty trash mac one difficult thing ever done life picture gone,0
contacting paw philippine find quottigerquot new owner sad love dog soo much,1
got home wanting read last chaper breaking dawn cause dont want,1
aww pray arroyo family everyone,2
babsi there manual process taking ever outlook database pffff crappy msft product,0
fuuudge movie store closed,1
alo sad quiet empty tonight,0
hahahaha horrible others singing sure could work wish could afford drum set,1
never answered dm sent need info,1
trying get pilot first season friday night light oh gosh pas tissue,1
aw headed cancelled trip aussie,1
cystic lacrimal infectection eye face swollen hurt,0
didnt think anyone caught,1
oh nevermind think thing unsalvageable,1
lyin bed faaaaar early,1
sad christian lacroix file bankruptcy,0
dont feel good fuckkk,0
agree work double shift,2
look like ill never go zoo,1
ohh poor girl ill email relying october mr,0
medhurst play,2
bad time,0
aarrgghh fuka hose leaked water new floating floor,0
go dreaded dmv tomorrow,0
bit ben thaied,1
english class working interactive oral,1
thank rec doesnt work,2
sorry excited tomorrow night karaoke getting anything special bday,2
puppy gizmo h haha still growl always look back long pruple scar fingie,2
dont know ima work tomorrow wit body dis sore ugh,0
wo,1
yeah plus little far walk pinocchios sushi,1
feeling pressure head always kick nasty headache looking forward,0
taylor swift joe jonas looked really good together kinda sad broke,1
suppose turn sentence outline research paper within hour online neck hurt,0
lady across way miscarriage say prayer,1
god want sleep,2
ohhhh thunderstormsboo always make power go,1
feel deflated doggy,1
found book starting real paperbound journal tonight annoying zit lip make look like herpes,1
ratt rocked nashville toniteone thing sucked encore like still fun show pearcy hott bad boy look,1
feeling bad got bad news mum,0
dun wanna,1
damn girl ya gotta let know get kit together amp got flyer next weekend iquotm,0
dbl booooooo sick flippin blow bahaha kno dont many friend either feel lame haha,0
thats thinking time gonna,1
peep still fun time gotta sleep tho work cool hot chick none cool missing,2
dont feel like working think tweet often,1
feel sick stomach idkk whyy,0
vinerinimic special sau probabil un alt weekend pierdut,2
counting hour lost sunshine weekend,1
dude saw sf pic look like mini excursion pretty kick as didnt see sun tho,2
home safely hungry,2
jodie um thrown van yesterday taken er,1
got final table butwent third dont think ill getting free seat,2
good morning work morning gutted lol nevermind,2
work morning friend get party upstupid bberry lite flashing red message,2
fb boring wanna sing right,0
link doesnt work,1
hahaha dont know anyone anything except power lol live bubble,2
humpalow um ya think cell dying,1
last day worksick bone,1
feel like house arrest,1
love like wareasy begin hard endfiuuhh,2
ur supposed bk tho,1
know shortage shell crab use beach due beach comber sad,0
oh nighty night,1
must new music wont sleep give u chapter might die first though hurry,0
stupid tooooth hurt,0
love song quottogetherquot thats quothisquot song mewell think still,2
ready go school,2
computer broken broke laptop use phone ahh still cause fucked order,0
gable good isnt holiday chalet sight look v similar one going home today,1
sad economy heard another friend losing job sad reminder,0
starting feel really panicky anxious something bad happened co seems like age,0
dog ran awayyy,1
isone suck bad,0
back top molar extracted swollen face numb toothache sinus pain,0
finished hour texas life insurance ce tonight hour go,1
anyone know good rap song need make rapfun cd idea helllllpppp,2
want go peru summer ahhhhhhh hopefully yesyesyes miss,2
awake anybody else awake wish lived u since fun happens asleep,2
charles power lol damn savemart lost power could buy beer,1
j heehee love tired,2
mobile phone refuse charge either battery broken chargerrr booooo,0
oh wish would get sign something send let call meet something,2
hmmm thought sleeping bad cant see video tomorrow night,0
morning everyone sorry going early last night bad news felt totally crap today new day,0
wish parent put chinese school younger itll much easier get job,2
yeah physically moving apparently well reporting directly mr hayward,2
airport didnt show tonight homo,1
jealous look like schindlers list toronto,1
want another tatt,1
come erock left bah,1
need make lot money tomorrow,1
room make sad,0
nearly fell asleep jolted bed massive panic attack sure sleep,0
gay made tonight,1
oh fck completely forgot thirsty thursday oh gaga suck,0
one people wrong world blame people great world living shit,0
nope sleeping cuz live east coast,1
bet cool sr huh havent stopped sweating since noon dad packing,2
eww dislike,0
tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni,1
decided trans frm relaxed natural hair wish whole head looked like root age instant gratification,2
sorry bout cat,1
need increase salary,2
stomach feel like touching groundim full,2
pug woke incredible sleep,1
cant wait hear new album sure amazingplease replay love much,2
sooo much work little time,1
missed iron chef,1
d version suck,0
bad day,0
know ridiculous never got hang love chicago want go shopping trip sound like fun,1
hate net ayaw bumukas ng twitter,0
ugh internet,0
omg didnt tweet much today sadness,0
feeling giddy wanna go home,1
week wasnt without adam lambert performance,1
link doesnt work,1
packing last day youth camp,1
gossip girl coming back chaceeeeeee,1
smh hiphop nursery rhyme,0
somebody please save polar bear,2
noooooooooooo look lot picture lol lol,2
really sleepy bored right word much work,0
come attention yo friend ive recently gained ton weight didnt know,2
guess staying home tonightno movieing,1
went cd store search cd,1
reminds weather month ago horrible hope well hug,2
miss mom quotmay angel lead inquot,1
there really android twitter app tweeties calibre,1
jacksonville beach walking cold as water work morning ily ltgt,2
,1
feel way every day,1
cant sleep suck one day sleep get go shopping mom ugh,1
well got home till tmw p comcast right didnt miss,2
sleppytime really missing godfather right love wayne,2
headache right suck,0
hope ya sleepin well guy still,2
finished color drawing come,1
lakers baby lakers ill miss game tmwr work youll keep posted please,1
comfort food day pan mee though didnt taste good,1
damn drunk hot suck,0
miss baby,1
sleeping paperwork,1
showered icecold water sweating mean one thing sick,0
midnight cry wish person wanted wanted right,1
ima need follow real quick cause cant dm,1
poorly cant sleep,1
went pole class feeling discouraged hopeless cone dancing sexy move spreading leg,1
poor unfortunate soul dont appear pant qvz,0
told often wash hair would never speak,1
look like another sleepless night dedicated homework sorry advance m chapman,2
lot mock,0
didnt say goodnight,1
pussy damnit sending email right btw,0
work tom,1
hongkong international airport wait hour next flight cebu,1
cant sleep nothing tv,1
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,2
oh youve superseeded good enough,2
today say goodbye second good friend week dmp least sun shinning definately working pm,2
fuckinm transtelecom,1
really really bored guess go bed,0
ofthedead met stranger min ago stalking store,1
tee beefinwhat supposed leavin,1
sometimes thing say hurt one love unintentionally never ever take back fix,1
suck,0
iiii know mean,1
fever dont feel work,1
taking horse pill hoping get sleep tonight,2
pgpm student pgpm student year back wish could stay one,2
missing day cant pas quick enough,1
hey thats school hate place,0
working home today back killing doctor physio later today,0
back work distraction,0
demi say hi enough replay please love much,2
awwww never noticed,1
suck well state start tomorrow headin bed nitey nite,1
look like going nice work today annoying choice,2
guy keep set list forgot ask one xx,1
first impression silverlight sadly based saw today quite problematic,0
desperatly hoping dad take vanessa game,2
andjay hi fuck job,0
missing deeply,1
time go bed get go work,1
big vanessa going september going fast hard cuz workin much miss alot,1
sniff sniff take care ravel hopefully well chatting soon mean time ill hella miss,2
cheryl lucky want teleport,2
somebody please save polar bear,2
nose runny head pounding teeth hurt like bitch man feel awful,0
dont want leave,1
headin homerefreshed mind soul justa lil bitbac reality,1
good lord seen agency work upcoming open day money jam,2
working fridaaaayyyyy,1
grove drag hell hope doesnt suck,1
feel like shit saying happy belated birfdayy month late,2
lmaothats sad kinda discourages rom goin shit wack,0
got home work finished cleaning need eat dinner dont know want ughoh well might eat,1
wish,2
miss little batty month old got sick always fun full life lt even end,1
fc finally time hate keep happening,0
seriously bored without anyone talk tired enough sleep,1
morning hate morning offensive,0
still give computer break omg,1
bed bed bed never answer text anymore thought day sent one never heard back sad day,2
,1
waah longer peep,1
yo lol wow dawg doesnt sound like youre playing feel bad haha,2
extremly deep,1
little foster kitten getting bigchubba winston going b missed get amazing home,2
one week till exam block,0
home cat right,1
hoping didnt fail english would sad,2
know would great shoulder stop hurting sleep normal wantneed solid hour good sleep,2
lenos last show tonight like better conan,2
sorry bad driving experience,0
dont,1
already miss,1
plan may change nooooooo,1
sister douchebag,0
there relisting fee dont complete sale suck,2
random,1
knew shouldve worn sars mask plane socal feeling beginning sore throat,0
gutted bathroom still isnt free early work isnt going happen need loo,0
july long,1
awww wish could stuck jab eye knitting needle,1
wonder mnet show,1
wearing glass give headache,1
stop talkin food haha fill like sum nw hha hows day goin starting,2
finished sewing night uploading picture slidebar beach cant believe difficulty twitter,1
thank cant wait ummm btw ima crash still sick,0
first work computer home laptop fucked,0
liesgirlstell guy call phone see number real ohh phone isnt working try tomorrow,1
beer friday melbourne cbd mtub mini cmon thirsty lonely bugger making feel like scotty mate,1
know came back st lose lead last minute,0
gosh summer vacation almost philippine kinda sad wonder section,0
page m twitterworld vote,1
bummed cant wear sweet nike kick work,0
twitter broken,0
sleepgood night tweeties oc tomorrow hope pray rachyl get better soon,2
depressing stuck inside day,0
even saw news feed archie website cant believe hed choose veronica disappointed,0
hate sick miss,0
eating slider barjohnnys theyre pork tho beef still search,1
getting ready school second math test today also last day rd year next week officially th year,2
woke upi wanna stay bed,1
depressed wasnt included morcom garden quiz facebook,0
yeah still totally high soooo notlooking forward aug sept,1
upsidedown tomato plant died,0
deep priecing soul,1
oh come get next week get next week full exam,1
friday last much fun skint though,2
know dont tell anyone dont know dad told famz yet think taking online,1
caant iht earlier icant wait long ahar,1
friday yay bonus dont drive wale tonight athough miss kitten cuddle going ride,2
child promised birthday brekkie bed there problem there bugger food house,1
woops realized dm going,1
dont think able get bed tomorrow morning seeeee,1
cant use blackberry today suck,0
q studio created open season google look dvd downstairs feeling lazy,1
time changing,1
hate,0
time tv bedthen spending day catching studying hate online summer class,0
video available u foreigner,1
wanted visit animal late,1
pc agree problem must stop spending work,0
jonaswebcast missed,1
dang really look like crap sigh min shower min get ready,2
waiting get picked,1
exhaustedcant sleep dont like night,1
gonna miss live comet action tomorrow go take care cousin dont access interwebz,2
lol cant drink,2
bill compton wii cant twitter,1
sorry hear,1
morning sport day today threelegged race mr pettigrew said aloud trip,1
found cant drink bar booo missing e palomino cheer sad face,1
cannot sleep hour tossing turning,1
omg going die swine flu go melbourne,0
packing dont like,1
xo dang certain okay,2
wish dave gilmour roger water would reunite pink floyd concert,2
finished whole box ice cream,1
horse town blown car speaker,1
someone make cofffeeeeeee,1
plus deposited tax return cheque first time year didnt clear immediately,1
photo martwo omg love accadentally deleted photo yay he beautiful,2
knooww amp hot water bottle i whangamata without ahhhhh,1
nose stuffy,1
last night newport,1
thanks rt sorry new place domestic,2
ok shoe club cool fun poppin except ppl tryna dance wit,2
holy crap raining la dont jacket oh,0
aright twitter fam guess ima outties gonna try sleep horrible pain,0
baby recieving vaccine,1
wish could attend e year small event like nba stanley cup final keep getting way work work work,2
lol hi emmy latin would help study aptitude test get grad school thats wanna take,2
btw wimp,0
lol yeah yeah big perv hoping see next week scrapped plan,2
rejecting food substance,0
trying interview dr paul twomey ceo icann phone issue cut interview min,1
cant add myspace girly asks last name email,1
back vienna sooo tired luggage lost manchester great good outcome seminar mb amp great people around,2
dont think take needle watched horribly gory short film drug month ago scarred life,0
dont wanna go back work sleepy time,1
feel good,2
watching biggest loser hallmark never fails make cry nyeh,1
suck old actually,0
thinking getting work,1
still confuse,1
naughty girl tonight dissappointed,1
thats better missy telling biggest loser,1
noooo go orlando omg gonna cry,0
aaaaaahhhhhhhh soooooooo sweeeeeeet miss age soooo much,1
saw fox getting freeway hope go home,2
scratch sleep stage bound,1
recapping britain got talent britain seems talented america,2
cnt get goin ur old message gtgtgtgt helpltltltlt,1
good time rocking open mic thanks love support working business plan presentation cg nite,2
swimming go,1
morning john yes however diary clash sadly cant attend,1
miss friend,2
ohh ic ic haha iyaa summer filled one course last whole summer,2
yea saw really sad commercial,0
hmmm using tinytwitter small nontouch screen really much fun,2
lettuce amp spinach best cool weather live floridanot much luck growing,2
oh love em think kind preservative theyre using stay quotjustbakedquot kinda make sick,2
unfortunately,0
new lens isnt working worked bit give fee error,0
hate sleep alone,0
back school almost weekend oh wait gotta work eight four tonight,1
loved johnny carson going hate seeing jay leno go,1
even though everyone wanted newish song teacher agreed old grumpy doesnt like u happy haha,0
english essay rampjwtf done long time ago assigned last thursday,1
tiffmarie think much,1
ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though,2
didnt end really eating snack sigh,1
finallythe internet server phoenix fucked,0
ups ketauan cabut nih gimana dong,1
sorry guy drop trip personal commitment,1
didnt get callback play cried oh well guess back techie,0
awesome wish could fly see,2
kinda wish went cant fall asleep,2
nope het lostampfound,1
rocky cola diner whittier tonight teacher pal mr b great time chatting one else came,2
bed still exhausted vega,0
lol true maybe next year loooved siggy dont remember password mod thing cake,2
ummm sooo yehits really hard concentrate rite wen weird lupus feeling goin thro body,1
ouch look painful,0
took hour nap work today wont able sleep night bummer,0
know enjoy watching two twitter entertaining comic miss,2
loving lil ken absolutely dreading saying goodbye le week,1
yet sorry,1
want sit back amp relax little difficult,1
thought best friend,2
hii thatsï¿½mee woke going school,1
fall asleep know feel lol drag hell tonight quite excited,1
god cant even catch public transport swine flu shit house,0
dad said trip uk cancelled due da swine flu ooops sorry abang,0
asks karma point please,2
hahaha alright,2
hussein wake earlier thought dad want take food noooo,1
someone take la need see lemon tree,1
um dont think text msg quotsubject linequot fail,0
tummy ache,0
math quiz meow allergy meow allergy,1
want see friend,2
youre far away dont know,1
la said quotwipe slate cleanquot jelly,1
who one always working oh yeah still,1
unless invite come beta key going much help,2
exp live,1
sorry andrew wish something could,2
finsh work eleven even allowd cauz really dont want lol,0
chasetons either please dont die heart really sad,1
interesting show say least recap tomorrow first must sleep work,2
feel like hot box matter go still feel like hot box ice cream isnt working e,2
sad please get better grandma,1
uuuugh hate everything,0
gosh today weather horriterrible extreme hotness losing lot water weight nothing,0
taking moment reflecti want annonymity backfb safe say anything someone else another friend,2
hey peter thanks follow many sydney pastor tweet shame bris pastor twitter behind,1
daasshole ï¿½ cant sister house ï¿½net tonite,1
damn hi facebook whats wrong cant add photo,0
aku kbangun gara mimpi bad dream,0
follower follow ill love pout please,2
aww annoying,0
dont even wii b like xbox thats use,1
cant sleep darn frustrating,2
express didnt get see tonight,1
bff rocking hotel california song done stay whats next hmmm careless whisper,2
one day loneliness creep slap face,1
rip kelly fucccccck,1
well dont vacation let go,1
think ignoredby best friend jakea hate ignored b know thing go,2
viola love way didnt end time go week sooooo sorry next week sure,2
nd last episode jay leno itll never nite twitter,1
feeling good,2
ok time nodd gonna long day tomorrow saying goodbye car good,2
fakin kishajust luck,2
taking nap workno sleep right nap felt soooo good seems like bad idea,1
going home ive seriously enough,1
counting minute dad gfriend leaving,1
miss oklahomaaaaa listening citizen cope til pas,1
tenseso emotionalso,1
fun miss guy lot,2
make sad,0
playing game watching straight people hook cant leave another reason,2
yeah work today never mind one day sun sun sun,1
feel like going cough lung,2
funny kinda sad last day,1
dont think either cant remember,1
anyone got jbs live chat vid school saw joe hug tackle nick lol,2
jenny fell asleep didnt come,1
love cannot,2
wish teased movie night,1
lost follower night nobody like,1
ive missed one year forbidden fruit tree garden munch disappointment one,0
want new phone ive seen much cellphone commercial,1
soo sad edge page gonna come cry,0
time really need shut going sleep head ache badly really cant take,0
love knw gna cut stuff tv,2
becuz braggin,1
strict diet ugh feel like cheat one day ill throw everything,0
oh hub sick hope dont catch,1
ze franz friended think think creepy stalker sommat hmph,2
taking back horrible shoe mum made get urgggh nasty footwear problem cant find shoe,0
ran money r sad panda,0
find today first kiss,2
cal dachshund rescue found home foster pup max soooooo sad see leave,1
wow feel like ish really feel bad ignorent aholes wont overturn prop,2
work finish pm booooo,1
wish hadnt teased movie night,2
gotta wiat till next week btwyou mumbai,1
dont know tired today bye time beddy,2
maybe take drinking feel massive hangover still yself today,1
really bad head ache gonna go bed might back maybe bye bye,0
friend traveller tale held farewell party kinda disappointed would still sep fault,1
night talking victor bored night grrrr hate shit,0
going die tomorrow night,0
ooh maggi goreng yums cant eat sore throat cmin,1
gonna get try catch z high school tomorrow really suck wish didnt grow,1
morning hon breakfast cant decide,1
sleeping lost voice couple day ago,0
mention bf bubbled wsop employee event hr aa working double next week,1
sleepy earlier didnt get see matt,1
big day day xt launch amazing much free stuff thanx edge telecom found phone wantcnt afford yet tho,2
oh yeah poorest person shouldnt joke poor people,1
realized spelled quotadorablequot wrong tweeted must hate,0
gone,1
mommy oh well hope get better,2
crew please dont dont think could wrong number time,2
glowing face complexion always pale,1
downloadfestivals lineup isnt good thought awesome band festival missing dl,0
havent watched gossip girl ageeees need one tree hill season god slow,2
youre cycling tho thats good healthy eating healthy eating contradiction term,2
soooim kinda sick tired b guy dish,0
hate fleetwood favorite bandim jealous ok still love haha,2
wish carlton game live stupid channel lol,1
