content,sentiment_label
hear helicopter flying house thats kind weird news headache back booooo,11
sugar oh always lt,11
back school m suhanas last day ft ocu okay playing altnoy,7
poll trying get work powerpoint avail,7
took math test today day test teacher say bring calculator luke confident teacher decided calcs,4
omg concert awesome madrigal gave chill almost every piecebrooks also called alumnus didnt get go,4
yeah terrible cockatoo hardest live emotional good thing found though,7
late nothin,9
think vog making sicker think feeling slightly achy,11
homework sux big time math worst,11
would better imo let play song provided start quotget itquot black,7
wordsaftersex never started,7
sometimes wish thing could go back way beginning last summer,9
downloaded new twitterfon update thinking fixing typing problem new tweet didnt,11
feel way guess matter always meme,9
cant minute treadmill done minute today already gonna minute,4
sooooooooooooo confused,11
friend like vaikonedumaran ltte didnt need enemy wrong advice wrong time led numerous death amp lost cause well,7
work day,11
chillin roomy cant wait zombie clwn cr gonna week,4
looove guitar playing think sound magnificent better,7
refund retrieve account take like week hoping thief doesnt use hack permaban,11
cry lol,7
cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol,9
epicentre wheelock place unit amp tourist starting today,10
hate new mt dew commercialthe one giant mosquitoit scare gross time,5
come knight well hour,7
super keen drive home rain additional concentration required dont really wanna deal,11
aw cant let secret,10
sorry dont think stick least compared used look like,10
transport church wont making crushed oh well time assignment suppose throat really hurt,11
hate see pregnant woman smokinggg sooo irresponsible selfish saaad ultimately baby one suffers,5
liesliesliesyou cant avoid lie practicallyeverything,5
twittascope rocking sock go away already,7
driving back home forgot piece cake era,7
tried jumping without trampoline like thud thud shouldnt eaten cookie,11
everytime send email coach feel need practice shitty ball lol,9
pissing letting follow ericka,9
going sleep peaceful wanted hear say good night didnt happen good night everyone,9
mum trying make feel ebtter stopping voting adn winning shortstack almost cried,9
close tacosone spot late,7
thinking much work,10
forgot live jonas brother facebook,11
havent seen muffin two whole day,9
ill miss yall back give regard,9
gap year going quick,10
admit bit bummed wasnt friend walking today,11
girl blunt soooooooo thought right absolutly great day stressorscome home,7
twitter hacked,11
found mj mouse flat dj course none left size,9
wont time buy need new binder pa,7
hahaha well try ugly,5
man ulduar hard,7
dont even want know know vhemt dont go wed miss,11
thats awesome weekend cant go moving sat lot fun though,3
night night twitter world still cant believe thomas thing tomorrow gunna funsad,7
oat happening,7
tah oh hug,10
bored talking someone theyre busy something else kinda bummer idk,7
knoww thing wont samee lt,9
omgness pm need beup early set garage sale start wish said beat,11
kno doooo yall partyin,4
okay twitter suddenly changed respond message,11
ugh dad told read article kavya shivashankar spellin bee girland like,7
decided matter good hair look curly doesnt justify burn get curler hand covered suck,11
going sleep gonna fall asleep playing apps tmrw going suck,9
yea gotta,7
hate bf beat da dog guess way teach pitt,5
sprained ankle like really badly tore stuff hurt birthday weekend,11
cant believe metal gear solid song stolen disappointed,9
think may broke toe bar tonightthanks drunk girl steppin,5
one sale done today work explored balcony big theater w coworkers fun day void chili fry tip,7
wish left dead first id need something play,9
,7
story reminds living portugal,7
youre diabetic dad amp might sure still allowed eat sugar throughout day,7
spilled beer leg wasted half beer home met cute girl good conversation,4
roommate tickle love ignore,5
ill make nacho tomorrow better would made,7
yeahhh ampdont judge pillow,7
scary lightning thunder glad going sleep hope late school tomorow haha,8
teeth head hurt,9
hate rob zombie movie amp smell weed vommmm,9
math science strongest thinkdunno bout geography like day study year work,5
waiting line tryst,1
hope get job cuz need apartment drunk amp miss lil punkin tehe,11
got home wanting read last chaper breaking dawn cause dont want beover,11
need held gnite,11
hanging sam billy veronica going school tomorrow take sam body shop dang car accident,11
arrested development sad,9
xo wicked time leaving come cant stay night,7
omg keep losing follower sad want one daythats goal,9
feel deflated doggy,9
rain wanna see hair hows everyone,11
empty trash mac one difficult thing ever done life picture gone,9
contacting paw philippine find quottigerquot new owner sad love dog soo much,9
got home wanting read last chaper breaking dawn cause dont want,9
aww pray arroyo family everyone,11
babsi there manual process taking ever outlook database pffff crappy msft product,7
fuuudge movie store closed,9
alo sad quiet empty tonight,9
hahahaha horrible others singing sure could work wish could afford drum set,5
never answered dm sent need info,11
trying get pilot first season friday night light oh gosh pas tissue,11
aw headed cancelled trip aussie,9
cystic lacrimal infectection eye face swollen hurt,11
didnt think anyone caught,11
oh nevermind think thing unsalvageable,7
lyin bed faaaaar early,7
sad christian lacroix file bankruptcy,9
dont feel good fuckkk,9
agree work double shift,1
look like ill never go zoo,11
ohh poor girl ill email relying october mr,11
medhurst play,7
bad time,11
aarrgghh fuka hose leaked water new floating floor,5
go dreaded dmv tomorrow,9
bit ben thaied,7
english class working interactive oral,4
thank rec doesnt work,11
sorry excited tomorrow night karaoke getting anything special bday,7
puppy gizmo h haha still growl always look back long pruple scar fingie,11
dont know ima work tomorrow wit body dis sore ugh,11
wo,7
yeah plus little far walk pinocchios sushi,7
feeling pressure head always kick nasty headache looking forward,11
taylor swift joe jonas looked really good together kinda sad broke,9
suppose turn sentence outline research paper within hour online neck hurt,11
lady across way miscarriage say prayer,11
god want sleep,9
ohhhh thunderstormsboo always make power go,5
feel deflated doggy,11
found book starting real paperbound journal tonight annoying zit lip make look like herpes,9
ratt rocked nashville toniteone thing sucked encore like still fun show pearcy hott bad boy look,5
feeling bad got bad news mum,11
dun wanna,9
damn girl ya gotta let know get kit together amp got flyer next weekend iquotm,9
dbl booooooo sick flippin blow bahaha kno dont many friend either feel lame haha,9
thats thinking time gonna,7
peep still fun time gotta sleep tho work cool hot chick none cool missing,7
dont feel like working think tweet often,11
feel sick stomach idkk whyy,9
vinerinimic special sau probabil un alt weekend pierdut,11
counting hour lost sunshine weekend,7
dude saw sf pic look like mini excursion pretty kick as didnt see sun tho,10
home safely hungry,8
jodie um thrown van yesterday taken er,9
got final table butwent third dont think ill getting free seat,11
good morning work morning gutted lol nevermind,7
work morning friend get party upstupid bberry lite flashing red message,5
fb boring wanna sing right,4
link doesnt work,9
hahaha dont know anyone anything except power lol live bubble,7
humpalow um ya think cell dying,11
last day worksick bone,11
feel like house arrest,11
love like wareasy begin hard endfiuuhh,7
ur supposed bk tho,10
know shortage shell crab use beach due beach comber sad,11
oh nighty night,10
must new music wont sleep give u chapter might die first though hurry,4
stupid tooooth hurt,9
love song quottogetherquot thats quothisquot song mewell think still,6
ready go school,7
computer broken broke laptop use phone ahh still cause fucked order,9
gable good isnt holiday chalet sight look v similar one going home today,7
sad economy heard another friend losing job sad reminder,11
starting feel really panicky anxious something bad happened co seems like age,11
dog ran awayyy,11
isone suck bad,5
back top molar extracted swollen face numb toothache sinus pain,11
finished hour texas life insurance ce tonight hour go,8
anyone know good rap song need make rapfun cd idea helllllpppp,11
want go peru summer ahhhhhhh hopefully yesyesyes miss,6
awake anybody else awake wish lived u since fun happens asleep,9
charles power lol damn savemart lost power could buy beer,5
j heehee love tired,9
mobile phone refuse charge either battery broken chargerrr booooo,11
oh wish would get sign something send let call meet something,11
hmmm thought sleeping bad cant see video tomorrow night,11
morning everyone sorry going early last night bad news felt totally crap today new day,9
wish parent put chinese school younger itll much easier get job,9
yeah physically moving apparently well reporting directly mr hayward,8
airport didnt show tonight homo,7
jealous look like schindlers list toronto,11
want another tatt,2
come erock left bah,7
need make lot money tomorrow,2
room make sad,9
nearly fell asleep jolted bed massive panic attack sure sleep,11
gay made tonight,7
oh fck completely forgot thirsty thursday oh gaga suck,9
one people wrong world blame people great world living shit,9
nope sleeping cuz live east coast,10
bet cool sr huh havent stopped sweating since noon dad packing,7
eww dislike,9
tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni,11
decided trans frm relaxed natural hair wish whole head looked like root age instant gratification,7
sorry bout cat,9
need increase salary,7
stomach feel like touching groundim full,11
pug woke incredible sleep,6
cant wait hear new album sure amazingplease replay love much,6
sooo much work little time,11
missed iron chef,9
d version suck,9
bad day,9
know ridiculous never got hang love chicago want go shopping trip sound like fun,2
hate net ayaw bumukas ng twitter,5
ugh internet,11
omg didnt tweet much today sadness,10
feeling giddy wanna go home,11
week wasnt without adam lambert performance,7
link doesnt work,7
packing last day youth camp,11
gossip girl coming back chaceeeeeee,7
smh hiphop nursery rhyme,7
somebody please save polar bear,11
noooooooooooo look lot picture lol lol,4
really sleepy bored right word much work,10
come attention yo friend ive recently gained ton weight didnt know,11
guess staying home tonightno movieing,11
went cd store search cd,9
reminds weather month ago horrible hope well hug,11
miss mom quotmay angel lead inquot,9
there really android twitter app tweeties calibre,6
jacksonville beach walking cold as water work morning ily ltgt,5
,7
feel way every day,9
cant sleep suck one day sleep get go shopping mom ugh,9
well got home till tmw p comcast right didnt miss,7
sleppytime really missing godfather right love wayne,9
headache right suck,9
hope ya sleepin well guy still,11
finished color drawing come,3
lakers baby lakers ill miss game tmwr work youll keep posted please,9
comfort food day pan mee though didnt taste good,9
damn drunk hot suck,11
miss baby,9
sleeping paperwork,11
showered icecold water sweating mean one thing sick,11
midnight cry wish person wanted wanted right,11
ima need follow real quick cause cant dm,7
poorly cant sleep,9
went pole class feeling discouraged hopeless cone dancing sexy move spreading leg,11
poor unfortunate soul dont appear pant qvz,11
told often wash hair would never speak,11
look like another sleepless night dedicated homework sorry advance m chapman,11
lot mock,11
didnt say goodnight,11
pussy damnit sending email right btw,5
work tom,9
hongkong international airport wait hour next flight cebu,7
cant sleep nothing tv,7
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,6
oh youve superseeded good enough,7
today say goodbye second good friend week dmp least sun shinning definately working pm,9
fuckinm transtelecom,0
really really bored guess go bed,1
ofthedead met stranger min ago stalking store,11
tee beefinwhat supposed leavin,10
sometimes thing say hurt one love unintentionally never ever take back fix,9
suck,9
iiii know mean,7
fever dont feel work,9
taking horse pill hoping get sleep tonight,11
pgpm student pgpm student year back wish could stay one,7
missing day cant pas quick enough,9
hey thats school hate place,5
working home today back killing doctor physio later today,9
back work distraction,7
demi say hi enough replay please love much,4
awwww never noticed,7
suck well state start tomorrow headin bed nitey nite,7
look like going nice work today annoying choice,11
guy keep set list forgot ask one xx,7
first impression silverlight sadly based saw today quite problematic,7
desperatly hoping dad take vanessa game,11
andjay hi fuck job,11
missing deeply,9
time go bed get go work,7
big vanessa going september going fast hard cuz workin much miss alot,4
sniff sniff take care ravel hopefully well chatting soon mean time ill hella miss,9
cheryl lucky want teleport,7
somebody please save polar bear,11
nose runny head pounding teeth hurt like bitch man feel awful,11
dont want leave,9
headin homerefreshed mind soul justa lil bitbac reality,8
good lord seen agency work upcoming open day money jam,4
working fridaaaayyyyy,0
grove drag hell hope doesnt suck,11
feel like shit saying happy belated birfdayy month late,11
lmaothats sad kinda discourages rom goin shit wack,9
got home work finished cleaning need eat dinner dont know want ughoh well might eat,10
wish,9
miss little batty month old got sick always fun full life lt even end,9
fc finally time hate keep happening,7
seriously bored without anyone talk tired enough sleep,7
morning hate morning offensive,9
still give computer break omg,7
bed bed bed never answer text anymore thought day sent one never heard back sad day,9
,7
waah longer peep,9
yo lol wow dawg doesnt sound like youre playing feel bad haha,9
extremly deep,10
little foster kitten getting bigchubba winston going b missed get amazing home,4
one week till exam block,2
home cat right,7
hoping didnt fail english would sad,11
know would great shoulder stop hurting sleep normal wantneed solid hour good sleep,11
lenos last show tonight like better conan,7
sorry bad driving experience,9
dont,7
already miss,9
plan may change nooooooo,5
sister douchebag,5
there relisting fee dont complete sale suck,10
random,7
knew shouldve worn sars mask plane socal feeling beginning sore throat,11
gutted bathroom still isnt free early work isnt going happen need loo,9
july long,7
awww wish could stuck jab eye knitting needle,11
wonder mnet show,10
wearing glass give headache,7
stop talkin food haha fill like sum nw hha hows day goin starting,2
finished sewing night uploading picture slidebar beach cant believe difficulty twitter,11
thank cant wait ummm btw ima crash still sick,9
first work computer home laptop fucked,9
liesgirlstell guy call phone see number real ohh phone isnt working try tomorrow,11
beer friday melbourne cbd mtub mini cmon thirsty lonely bugger making feel like scotty mate,11
know came back st lose lead last minute,11
gosh summer vacation almost philippine kinda sad wonder section,11
page m twitterworld vote,7
bummed cant wear sweet nike kick work,11
twitter broken,11
sleepgood night tweeties oc tomorrow hope pray rachyl get better soon,7
depressing stuck inside day,9
even saw news feed archie website cant believe hed choose veronica disappointed,11
hate sick miss,9
eating slider barjohnnys theyre pork tho beef still search,7
getting ready school second math test today also last day rd year next week officially th year,4
woke upi wanna stay bed,9
depressed wasnt included morcom garden quiz facebook,11
yeah still totally high soooo notlooking forward aug sept,11
upsidedown tomato plant died,9
deep priecing soul,1
oh come get next week get next week full exam,11
friday last much fun skint though,7
know dont tell anyone dont know dad told famz yet think taking online,11
caant iht earlier icant wait long ahar,9
friday yay bonus dont drive wale tonight athough miss kitten cuddle going ride,4
child promised birthday brekkie bed there problem there bugger food house,11
woops realized dm going,11
dont think able get bed tomorrow morning seeeee,7
cant use blackberry today suck,10
q studio created open season google look dvd downstairs feeling lazy,2
time changing,7
hate,9
time tv bedthen spending day catching studying hate online summer class,5
video available u foreigner,7
wanted visit animal late,9
pc agree problem must stop spending work,11
jonaswebcast missed,9
dang really look like crap sigh min shower min get ready,5
waiting get picked,7
exhaustedcant sleep dont like night,9
gonna miss live comet action tomorrow go take care cousin dont access interwebz,9
lol cant drink,10
bill compton wii cant twitter,10
sorry hear,9
morning sport day today threelegged race mr pettigrew said aloud trip,11
found cant drink bar booo missing e palomino cheer sad face,9
cannot sleep hour tossing turning,11
omg going die swine flu go melbourne,11
packing dont like,0
xo dang certain okay,7
wish dave gilmour roger water would reunite pink floyd concert,7
finished whole box ice cream,9
horse town blown car speaker,7
someone make cofffeeeeeee,7
plus deposited tax return cheque first time year didnt clear immediately,11
photo martwo omg love accadentally deleted photo yay he beautiful,6
knooww amp hot water bottle i whangamata without ahhhhh,11
nose stuffy,7
last night newport,7
thanks rt sorry new place domestic,8
ok shoe club cool fun poppin except ppl tryna dance wit,4
holy crap raining la dont jacket oh,11
aright twitter fam guess ima outties gonna try sleep horrible pain,7
baby recieving vaccine,7
wish could attend e year small event like nba stanley cup final keep getting way work work work,11
lol hi emmy latin would help study aptitude test get grad school thats wanna take,4
btw wimp,9
lol yeah yeah big perv hoping see next week scrapped plan,8
rejecting food substance,11
trying interview dr paul twomey ceo icann phone issue cut interview min,11
cant add myspace girly asks last name email,9
back vienna sooo tired luggage lost manchester great good outcome seminar mb amp great people around,5
dont think take needle watched horribly gory short film drug month ago scarred life,11
dont wanna go back work sleepy time,9
feel good,11
watching biggest loser hallmark never fails make cry nyeh,7
suck old actually,7
thinking getting work,11
still confuse,7
naughty girl tonight dissappointed,11
thats better missy telling biggest loser,11
noooo go orlando omg gonna cry,9
aaaaaahhhhhhhh soooooooo sweeeeeeet miss age soooo much,10
saw fox getting freeway hope go home,10
scratch sleep stage bound,7
recapping britain got talent britain seems talented america,10
cnt get goin ur old message gtgtgtgt helpltltltlt,7
good time rocking open mic thanks love support working business plan presentation cg nite,6
swimming go,7
morning john yes however diary clash sadly cant attend,9
miss friend,9
ohh ic ic haha iyaa summer filled one course last whole summer,7
yea saw really sad commercial,9
hmmm using tinytwitter small nontouch screen really much fun,9
lettuce amp spinach best cool weather live floridanot much luck growing,3
oh love em think kind preservative theyre using stay quotjustbakedquot kinda make sick,6
unfortunately,7
new lens isnt working worked bit give fee error,11
hate sleep alone,9
back school almost weekend oh wait gotta work eight four tonight,11
loved johnny carson going hate seeing jay leno go,9
even though everyone wanted newish song teacher agreed old grumpy doesnt like u happy haha,9
english essay rampjwtf done long time ago assigned last thursday,11
tiffmarie think much,11
ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though,9
didnt end really eating snack sigh,11
finallythe internet server phoenix fucked,10
ups ketauan cabut nih gimana dong,7
sorry guy drop trip personal commitment,11
didnt get callback play cried oh well guess back techie,9
awesome wish could fly see,4
kinda wish went cant fall asleep,9
nope het lostampfound,8
rocky cola diner whittier tonight teacher pal mr b great time chatting one else came,11
bed still exhausted vega,7
lol true maybe next year loooved siggy dont remember password mod thing cake,6
ummm sooo yehits really hard concentrate rite wen weird lupus feeling goin thro body,11
ouch look painful,11
took hour nap work today wont able sleep night bummer,7
know enjoy watching two twitter entertaining comic miss,3
loving lil ken absolutely dreading saying goodbye le week,7
yet sorry,9
want sit back amp relax little difficult,11
thought best friend,11
hii thatsï¿½mee woke going school,7
fall asleep know feel lol drag hell tonight quite excited,9
god cant even catch public transport swine flu shit house,11
dad said trip uk cancelled due da swine flu ooops sorry abang,11
asks karma point please,7
hahaha alright,6
hussein wake earlier thought dad want take food noooo,5
someone take la need see lemon tree,4
um dont think text msg quotsubject linequot fail,9
tummy ache,9
math quiz meow allergy meow allergy,10
want see friend,6
youre far away dont know,11
la said quotwipe slate cleanquot jelly,7
who one always working oh yeah still,4
unless invite come beta key going much help,7
exp live,7
sorry andrew wish something could,9
finsh work eleven even allowd cauz really dont want lol,9
chasetons either please dont die heart really sad,9
interesting show say least recap tomorrow first must sleep work,4
feel like hot box matter go still feel like hot box ice cream isnt working e,11
sad please get better grandma,11
uuuugh hate everything,11
gosh today weather horriterrible extreme hotness losing lot water weight nothing,11
taking moment reflecti want annonymity backfb safe say anything someone else another friend,11
hey peter thanks follow many sydney pastor tweet shame bris pastor twitter behind,10
daasshole ï¿½ cant sister house ï¿½net tonite,7
damn hi facebook whats wrong cant add photo,7
aku kbangun gara mimpi bad dream,10
follower follow ill love pout please,7
aww annoying,11
dont even wii b like xbox thats use,7
cant sleep darn frustrating,9
express didnt get see tonight,7
bff rocking hotel california song done stay whats next hmmm careless whisper,3
one day loneliness creep slap face,9
rip kelly fucccccck,9
well dont vacation let go,11
think ignoredby best friend jakea hate ignored b know thing go,11
viola love way didnt end time go week sooooo sorry next week sure,6
nd last episode jay leno itll never nite twitter,7
feeling good,9
ok time nodd gonna long day tomorrow saying goodbye car good,9
fakin kishajust luck,7
taking nap workno sleep right nap felt soooo good seems like bad idea,11
going home ive seriously enough,11
counting minute dad gfriend leaving,2
miss oklahomaaaaa listening citizen cope til pas,9
tenseso emotionalso,7
fun miss guy lot,2
make sad,11
playing game watching straight people hook cant leave another reason,7
yeah work today never mind one day sun sun sun,7
feel like going cough lung,11
funny kinda sad last day,9
dont think either cant remember,7
anyone got jbs live chat vid school saw joe hug tackle nick lol,7
jenny fell asleep didnt come,9
love cannot,11
wish teased movie night,9
lost follower night nobody like,11
ive missed one year forbidden fruit tree garden munch disappointment one,9
want new phone ive seen much cellphone commercial,11
soo sad edge page gonna come cry,11
time really need shut going sleep head ache badly really cant take,11
love knw gna cut stuff tv,9
becuz braggin,7
strict diet ugh feel like cheat one day ill throw everything,9
oh hub sick hope dont catch,11
ze franz friended think think creepy stalker sommat hmph,7
taking back horrible shoe mum made get urgggh nasty footwear problem cant find shoe,5
ran money r sad panda,11
find today first kiss,7
cal dachshund rescue found home foster pup max soooooo sad see leave,9
wow feel like ish really feel bad ignorent aholes wont overturn prop,9
work finish pm booooo,9
wish hadnt teased movie night,9
gotta wiat till next week btwyou mumbai,11
dont know tired today bye time beddy,7
maybe take drinking feel massive hangover still yself today,9
really bad head ache gonna go bed might back maybe bye bye,11
friend traveller tale held farewell party kinda disappointed would still sep fault,11
night talking victor bored night grrrr hate shit,5
going die tomorrow night,2
ooh maggi goreng yums cant eat sore throat cmin,7
gonna get try catch z high school tomorrow really suck wish didnt grow,5
morning hon breakfast cant decide,7
sleeping lost voice couple day ago,9
mention bf bubbled wsop employee event hr aa working double next week,7
sleepy earlier didnt get see matt,9
big day day xt launch amazing much free stuff thanx edge telecom found phone wantcnt afford yet tho,6
oh yeah poorest person shouldnt joke poor people,11
realized spelled quotadorablequot wrong tweeted must hate,9
gone,7
mommy oh well hope get better,11
crew please dont dont think could wrong number time,11
glowing face complexion always pale,9
downloadfestivals lineup isnt good thought awesome band festival missing dl,9
havent watched gossip girl ageeees need one tree hill season god slow,11
youre cycling tho thats good healthy eating healthy eating contradiction term,8
soooim kinda sick tired b guy dish,5
hate fleetwood favorite bandim jealous ok still love haha,6
wish carlton game live stupid channel lol,10
